mode,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL
gb,-3.333333345262903e-05,-66.18724999999999,-8.533233333333838,31.431283333333408,-7.220142599999998,-74.72051666666728,24.21114073333341,-50.50937593333387
pb,-3.333333345262903e-05,-66.18724999999999,-8.533233333333838,42.53750000000013,31.468350000000054,-74.72051666666728,74.00585000000018,-0.7146666666670995
