,Internal,Internal,Van der Waals,Van der Waals,Electrostatic,Electrostatic,Polar Solvation,Polar Solvation,Non-Polar Solvation,Non-Polar Solvation
,mean,std,mean,std,mean,std,mean,std,mean,std
mode,,,,,,,,,,
gb,-3.333333345262903e-05,5.1639777960357374e-05,-66.18724999999999,3.2269862378076075,-8.533233333333838,0.9033953966384112,31.431283333333408,1.384802561257954,-7.220142599999998,0.1458062987108161
pb,-3.333333345262903e-05,5.1639777960357374e-05,-66.18724999999999,3.2269862378076075,-8.533233333333838,0.9033953966384112,42.53750000000013,2.3923281087677046,31.468350000000054,1.7250952051988315
