mode,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL
gb,-1.666666657218073e-05,-60.36860000000005,-21.00715000000014,43.04046666666662,-7.252464720000002,-81.37576666666676,35.78800194666662,-45.58776472000015
pb,-1.666666657218073e-05,-60.36860000000005,-21.00715000000014,53.94313333333337,30.13235000000004,-81.37576666666676,84.07548333333341,2.699716666666646
