mode,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL
gb,-1.6666666659515683e-05,-55.25950000000009,-1.3529000000006686,23.720716666666704,-6.752774520000003,-56.61241666666741,16.9679421466667,-39.64447452000071
pb,-1.6666666659515683e-05,-55.25950000000009,-1.3529000000006686,33.194366666666554,30.02928333333333,-56.61241666666741,63.22364999999988,6.611233333332464
