mode,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL
gb,1.666666664745876e-05,-65.30604999999991,-9.372316666665276,37.489883333333346,-6.9972337200000005,-74.67834999999853,30.492649613333345,-44.18570038666519
pb,1.666666664745876e-05,-65.30604999999991,-9.372316666665276,48.56261666666669,31.77449999999992,-74.67834999999853,80.33711666666662,5.658766666668086
