mode,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL
gb,-5.0000000086254973e-05,-63.76493333333326,-16.432449999999474,37.67953333333338,-7.46912004,-80.19743333333282,30.21041329333338,-49.98702003999944
pb,-5.0000000086254973e-05,-63.76493333333326,-16.432449999999474,54.95020000000011,31.769166666666575,-80.19743333333282,86.71936666666669,6.5219333333338625
